,Currency A,A Return%,Currency B,B Return%,trades,Pair Return%
92,ADAUSD,645.120443763658,XRPUSD,248.3709172038313,77,160.048897402895
93,ADAUSD,645.120443763658,XRPUSD,248.3709172038313,38,222.7528963049337
94,ADAUSD,645.120443763658,XRPUSD,248.3709172038313,79,358.7253256506995
95,ADAUSD,645.120443763658,XRPUSD,248.3709172038313,38,55.16817698038508
96,ADAUSD,645.120443763658,XRPUSD,248.3709172038313,64,628.0378659289776
97,ADAUSD,645.120443763658,XRPUSD,248.3709172038313,32,681.3642097724517
98,ADAUSD,645.120443763658,XRPUSD,248.3709172038313,82,423.9247412678119
99,ADAUSD,645.120443763658,XRPUSD,248.3709172038313,42,501.35775484698127
100,ADAUSD,645.120443763658,XRPUSD,248.3709172038313,80,277.09014010980997
101,ADAUSD,645.120443763658,XRPUSD,248.3709172038313,44,441.65134631734605
102,ADAUSD,645.120443763658,XRPUSD,248.3709172038313,67,625.0905391222157
103,ADAUSD,645.120443763658,XRPUSD,248.3709172038313,35,292.2088594831709
104,ADAUSD,645.120443763658,XRPUSD,248.3709172038313,98,252.90400894991424
105,ADAUSD,645.120443763658,XRPUSD,248.3709172038313,56,630.6090988712637
106,ADAUSD,645.120443763658,XRPUSD,248.3709172038313,98,252.90400894991424
107,ADAUSD,645.120443763658,XRPUSD,248.3709172038313,56,630.6090988712637
