,Currency A,A Return%,Currency B,B Return%,trades,Pair Return%
0,ETHUSD,402.85229620104246,BNBUSD,1251.0038024970422,81,342.74480023914873
1,ETHUSD,402.85229620104246,BNBUSD,1251.0038024970422,40,831.4551133341022
2,ETHUSD,402.85229620104246,BNBUSD,1251.0038024970422,87,315.1641500439289
3,ETHUSD,402.85229620104246,BNBUSD,1251.0038024970422,44,617.356340181865
4,ETHUSD,402.85229620104246,BNBUSD,1251.0038024970422,87,328.409887844323
5,ETHUSD,402.85229620104246,BNBUSD,1251.0038024970422,42,579.5800416006166
6,ETHUSD,402.85229620104246,BNBUSD,1251.0038024970422,77,319.31374062131493
7,ETHUSD,402.85229620104246,BNBUSD,1251.0038024970422,38,763.8410700625664
8,ETHUSD,402.85229620104246,BNBUSD,1251.0038024970422,87,298.4217057447421
9,ETHUSD,402.85229620104246,BNBUSD,1251.0038024970422,44,907.2193987332162
10,ETHUSD,402.85229620104246,BNBUSD,1251.0038024970422,87,355.9413453478978
11,ETHUSD,402.85229620104246,BNBUSD,1251.0038024970422,46,620.9757231385292
12,ETHUSD,402.85229620104246,BNBUSD,1251.0038024970422,73,395.6610682671519
13,ETHUSD,402.85229620104246,BNBUSD,1251.0038024970422,38,795.6485583159629
14,ETHUSD,402.85229620104246,BNBUSD,1251.0038024970422,89,336.18549096835267
15,ETHUSD,402.85229620104246,BNBUSD,1251.0038024970422,50,775.8592317118759
16,ETHUSD,402.85229620104246,BNBUSD,1251.0038024970422,89,301.48818076031614
17,ETHUSD,402.85229620104246,BNBUSD,1251.0038024970422,52,657.881953109693
18,ADAUSD,645.120443763658,FTTUSD,556.5127853097649,73,277.20302582667875
19,ADAUSD,645.120443763658,FTTUSD,556.5127853097649,39,637.7352997453116
20,ADAUSD,645.120443763658,FTTUSD,556.5127853097649,95,50.85626463303928
21,ADAUSD,645.120443763658,FTTUSD,556.5127853097649,53,196.48595133799355
22,ADAUSD,645.120443763658,FTTUSD,556.5127853097649,93,-153.64464441431383
23,ADAUSD,645.120443763658,FTTUSD,556.5127853097649,54,510.94414233420184
24,ADAUSD,645.120443763658,FTTUSD,556.5127853097649,71,-7.663619231698918
25,ADAUSD,645.120443763658,FTTUSD,556.5127853097649,39,808.1225942723873
26,ADAUSD,645.120443763658,FTTUSD,556.5127853097649,93,115.57868976142393
27,ADAUSD,645.120443763658,FTTUSD,556.5127853097649,55,499.26492343846246
28,ADAUSD,645.120443763658,FTTUSD,556.5127853097649,91,-252.6041894026942
29,ADAUSD,645.120443763658,FTTUSD,556.5127853097649,56,637.6502056314605
30,ADAUSD,645.120443763658,FTTUSD,556.5127853097649,71,463.830751414189
31,ADAUSD,645.120443763658,FTTUSD,556.5127853097649,37,641.6742400551825
32,ADAUSD,645.120443763658,FTTUSD,556.5127853097649,97,23.753373631071014
33,ADAUSD,645.120443763658,FTTUSD,556.5127853097649,57,607.0197400315104
34,ADAUSD,645.120443763658,FTTUSD,556.5127853097649,93,30.68708194597574
35,ADAUSD,645.120443763658,FTTUSD,556.5127853097649,58,682.29558370327
36,BNBUSD,1251.0038024970422,FTTUSD,556.5127853097649,74,-136.66642021730283
37,BNBUSD,1251.0038024970422,FTTUSD,556.5127853097649,36,24.352748990804585
38,BNBUSD,1251.0038024970422,FTTUSD,556.5127853097649,92,216.10529255620685
39,BNBUSD,1251.0038024970422,FTTUSD,556.5127853097649,47,-489.1246904093631
40,BNBUSD,1251.0038024970422,FTTUSD,556.5127853097649,92,295.7691582084463
41,BNBUSD,1251.0038024970422,FTTUSD,556.5127853097649,49,-516.4156108226791
42,BNBUSD,1251.0038024970422,FTTUSD,556.5127853097649,80,-234.15897131590597
43,BNBUSD,1251.0038024970422,FTTUSD,556.5127853097649,36,585.6611937753864
44,BNBUSD,1251.0038024970422,FTTUSD,556.5127853097649,92,145.09017527422355
45,BNBUSD,1251.0038024970422,FTTUSD,556.5127853097649,47,-593.2487383441372
46,BNBUSD,1251.0038024970422,FTTUSD,556.5127853097649,92,147.8704782767459
47,BNBUSD,1251.0038024970422,FTTUSD,556.5127853097649,49,-597.4176406279394
48,BNBUSD,1251.0038024970422,FTTUSD,556.5127853097649,72,-303.89865119078655
49,BNBUSD,1251.0038024970422,FTTUSD,556.5127853097649,34,799.6873848875841
50,BNBUSD,1251.0038024970422,FTTUSD,556.5127853097649,96,150.076604437479
51,BNBUSD,1251.0038024970422,FTTUSD,556.5127853097649,53,642.5230249789869
52,BNBUSD,1251.0038024970422,FTTUSD,556.5127853097649,96,106.17527131097704
53,BNBUSD,1251.0038024970422,FTTUSD,556.5127853097649,53,642.5230249789869
54,ETHUSD,402.85229620104246,FTTUSD,556.5127853097649,66,121.71570417077815
55,ETHUSD,402.85229620104246,FTTUSD,556.5127853097649,30,517.8011636539334
56,ETHUSD,402.85229620104246,FTTUSD,556.5127853097649,86,321.12505547510415
57,ETHUSD,402.85229620104246,FTTUSD,556.5127853097649,46,466.9346662739869
58,ETHUSD,402.85229620104246,FTTUSD,556.5127853097649,86,321.12505547510415
59,ETHUSD,402.85229620104246,FTTUSD,556.5127853097649,44,456.6885671747534
60,ETHUSD,402.85229620104246,FTTUSD,556.5127853097649,62,80.86159792730108
61,ETHUSD,402.85229620104246,FTTUSD,556.5127853097649,32,521.9913492766863
62,ETHUSD,402.85229620104246,FTTUSD,556.5127853097649,88,332.16863888862474
63,ETHUSD,402.85229620104246,FTTUSD,556.5127853097649,42,622.2095852837274
